system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,BSI,EVI,FAI,GNDVI,MNDWI,NBAI,NBI,NDAVI,NDBI,NDBSI,NDVI,NDWI,RENDVI,SAVI,VH,VV,WAVI,landcover,.geo
1_1_1_1_2_14_0,0.0468,0.0418,0.0308,0.0418,0.0512,0.0414,0.0478,0.045,0.053,0.0539,0.0523,0.0601,-0.06987143,0.031603962,0.012429111,0.02568983,0.10107526,-0.15151516,0.023657143,0.12643678,-0.27272728,0.0,0.13116473,-0.02568983,0.059980333,0.031496722,-21.838558,-13.553192,0.030468356,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.42892219793316,-7.30716434993096]}"
1_1_1_1_2_143_0,0.0425,0.0872,0.0406,0.0349,0.0438,0.0312,0.0758,0.2053,0.2033,0.1315,0.2269,0.1857,-0.16853935,0.23723924,0.090375654,0.50028527,-0.33129773,-0.36463222,0.009632851,0.58052886,-0.5281813,-0.42833745,0.61647207,-0.50028527,0.26869273,0.22702582,-12.499334,-8.54022,0.21743698,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.41888625093611,-7.291683911268311]}"
1_1_1_1_2_156_0,0.0412,0.0201,0.0137,0.0324,0.035,0.023,0.0432,0.0501,0.0548,0.0477,0.0465,0.0809,-0.30032468,0.06550334,0.025213938,0.1535671,0.27041745,-0.1893491,0.00660587,0.19101122,-0.5537459,0.23428574,0.3493635,-0.1535671,0.04950494,0.06492027,-20.473064,-20.012259,0.03956214,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.43372196666134,-7.308527211946084]}"
1_1_1_1_2_83_0,0.0434,0.0365,0.029,0.0407,0.0418,0.036,0.0508,0.0498,0.0513,0.0466,0.0464,0.0548,-0.092615776,0.027680578,0.01051139,0.054298636,0.06768838,-0.11450382,0.022403432,0.06758304,-0.23280424,0.05440415,0.1283293,-0.054298636,-0.04312116,0.027291454,-22.385044,-17.952078,0.015068958,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.42629416861848,-7.307794193877819]}"
1_1_1_1_2_124_0,0.0443,0.036,0.0233,0.0372,0.0437,0.0318,0.0482,0.0684,0.0723,0.0459,0.0744,0.0864,-0.101391636,0.036806922,0.0133556705,0.024553573,0.0966123,-0.21416526,0.016142486,0.10469312,-0.32658958,0.016393466,0.18146713,-0.024553573,-0.0244421,0.03661069,-33.456196,-17.645716,0.022380376,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.42424518433921,-7.280655370650622]}"
1_1_1_1_2_183_0,0.0377,0.0491,0.0258,0.0379,0.0496,0.0374,0.0637,0.1236,0.1334,0.1399,0.1408,0.0608,-0.34544078,0.23725754,0.10042652,0.47651714,0.0050658663,-0.31108144,0.0068972125,0.57367826,-0.6885938,-0.12873563,0.5781162,-0.47651714,0.37426326,0.22700427,-19.15432,-6.297551,0.2257303,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.44115597943629,-7.3042851334054]}"
1_1_1_1_2_99_0,0.045,0.0429,0.0295,0.0355,0.0392,0.031,0.0455,0.0553,0.0541,0.0516,0.0572,0.0939,-0.0819876,0.053019002,0.018491078,0.13656388,-0.045066983,-0.18508287,0.017722867,0.184845,-0.2725031,-0.09438774,0.2493947,-0.13656388,0.06282185,0.05303811,-33.25641,-14.840127,0.04113439,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.42991873059496,-7.307165610238837]}"
1_1_1_1_2_130_0,0.0441,0.0201,0.0139,0.0425,0.0458,0.0353,0.0421,0.0387,0.0398,0.0434,0.0379,0.0632,-0.2158528,0.021624217,0.010793752,-0.026905825,0.38998485,-0.18235295,0.011305761,0.010477303,-0.5148342,0.35782748,0.10292248,0.026905825,0.015204688,0.020995332,-19.644989,-15.400838,0.0023041484,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.42569483014015,-7.280476303514114]}"
1_1_1_1_2_123_0,0.0443,0.0373,0.0254,0.0427,0.0444,0.0347,0.0492,0.0587,0.0666,0.0445,0.07,0.0864,-0.09547739,0.026274873,0.009339228,0.0011248784,0.08690327,-0.1897927,0.01980629,0.02064221,-0.2732475,0.06749998,0.1237374,-0.0011248784,-0.050160076,0.02537984,-29.893124,-12.561126,0.004598094,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.42469835723902,-7.280475038487579]}"
1_1_1_1_2_174_0,0.0405,0.0351,0.0233,0.052,0.0556,0.0444,0.0457,0.0548,0.0481,0.0763,0.0507,0.0417,-0.2348412,0.08370947,0.033548154,0.1569371,0.22601981,-0.20205483,0.013558583,0.18939985,-0.5321285,0.19402984,0.26429164,-0.1569371,0.25081968,0.07709039,-18.88385,-10.65694,0.058013692,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.44242877082733,-7.300668536115555]}"
1_1_1_1_2_127_0,0.0447,0.0306,0.0197,0.0396,0.046,0.0367,0.0422,0.061,0.0669,0.0526,0.0617,0.0681,-0.15611285,0.040735807,0.016981047,0.06693712,0.20104438,-0.21669981,0.013745056,0.14099783,-0.4550484,0.12820512,0.17805152,-0.06693712,0.10970464,0.040471748,-21.988802,-15.551209,0.032928064,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.42542456132595,-7.279300057095]}"
1_1_1_1_2_113_0,0.0466,0.0259,0.0183,0.0404,0.0447,0.0337,0.0438,0.038,0.0384,0.0382,0.0319,0.0564,-0.13748188,0.012001274,0.005882318,-0.07840774,0.26628894,-0.1719457,0.016144242,-0.027989823,-0.35221237,0.21870284,0.062586896,0.07840774,-0.0682927,0.011802757,-23.359346,-15.231636,-0.0057034222,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.43131849293876,-7.274784786000312]}"
1_1_1_1_2_57_0,0.0455,0.0202,0.0137,0.0402,0.0415,0.0315,0.0426,0.0362,0.0445,0.0347,0.0311,0.0519,-0.18325433,0.008674903,0.0052025905,-0.089238845,0.3452188,-0.1917404,0.0124366,-0.073431246,-0.4338843,0.33112583,0.048338342,0.089238845,-0.10219924,0.008477565,-21.667643,-12.734114,-0.014350322,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.43150091968174,-7.273790018351176]}"
1_1_1_1_2_104_0,0.0459,0.0448,0.034,0.0504,0.0474,0.0414,0.0516,0.0504,0.0493,0.0568,0.0543,0.0541,-0.10858326,0.041522864,0.01479745,0.09021112,0.028199598,-0.1370558,0.02478169,0.059701495,-0.2511013,0.05882355,0.15682282,-0.09021112,0.04797048,0.03861585,-20.7816,-18.149294,0.015810277,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.42901313629572,-7.306893102834928]}"
