system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,BSI,EVI,FAI,GNDVI,MNDWI,NBAI,NBI,NDAVI,NDBI,NDBSI,NDVI,NDWI,RENDVI,SAVI,VH,VV,WAVI,landcover,.geo
1_1_2_105_0,0.0564,0.1139,0.0764,0.0648,0.0781,0.0846,0.1207,0.1513,0.1778,0.1738,0.187,0.1784,-0.09174104,0.18654844,0.08400744,0.37991267,-0.1864583,-0.19705729,0.03718895,0.4568315,-0.3892886,0.27476215,0.34520125,-0.37991267,0.18030562,0.17642406,-15.199328,-4.6077366,0.22136475,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.40694934791202,-7.275658085377605]}"
1_1_2_53_0,0.0584,0.0699,0.0423,0.066,0.0816,0.0772,0.113,0.1294,0.1511,0.1758,0.1552,0.1569,-0.24350731,0.21547201,0.099893704,0.36596733,0.07722775,-0.2459893,0.018575428,0.4540943,-0.61210454,-0.028697565,0.3897233,-0.36596733,0.21745151,0.19641432,-20.542286,-15.299433,0.2220275,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.45394141284355,-7.294622155064056]}"
1_1_2_30_0,0.0797,0.2017,0.1395,0.0995,0.114,0.1152,0.1508,0.257,0.2876,0.2342,0.3084,0.2216,-0.02582232,0.25230038,0.103670426,0.3452039,-0.27779537,-0.18229775,0.068618275,0.40365598,-0.2534118,0.33930942,0.34058386,-0.3452039,0.21662338,0.21014835,-17.954227,-11.91701,0.24235336,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.44277848123673,-7.310890301307301]}"
1_1_2_89_0,0.0574,0.0662,0.0409,0.0611,0.0744,0.0722,0.1024,0.1225,0.1373,0.1265,0.138,0.1234,-0.15092021,0.12324662,0.05536332,0.25933298,0.058321457,-0.23622786,0.023343716,0.34861407,-0.51135004,-0.04006288,0.27327627,-0.25933298,0.105286136,0.116573624,-22.655424,-5.946695,0.14267015,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.40983229027555,-7.287782667976453]}"
1_1_2_16_0,0.0497,0.188,0.1292,0.0684,0.08,0.0817,0.1078,0.1939,0.2106,0.1912,0.24,0.3373,0.019081777,0.23429479,0.090661466,0.4100295,-0.40298507,-0.185372,0.05520732,0.47303542,-0.19350813,0.46645862,0.4012459,-0.4100295,0.27892977,0.21251133,-16.41283,-6.5069914,0.24249604,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.44894824268314,-7.3032997163735205]}"
1_1_2_166_0,0.0529,0.1251,0.0695,0.059,0.0726,0.0626,0.0992,0.1442,0.1587,0.172,0.1695,0.2149,-0.10341534,0.24748892,0.09832372,0.40637776,-0.2655539,-0.2857143,0.025294768,0.4891775,-0.42443067,-0.35904402,0.46632567,-0.40637776,0.26843658,0.22338688,-17.686583,-11.455172,0.23187415,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.44971106966155,-7.272093860528315]}"
1_1_2_38_0,0.0599,0.1115,0.0778,0.069,0.0872,0.0916,0.1197,0.15,0.1517,0.1181,0.1512,0.1883,0.04100462,0.05759868,0.022973312,0.15051146,-0.122294925,-0.17802432,0.06034276,0.26242653,-0.20571722,0.23545709,0.12637101,-0.15051146,-0.006728333,0.056009583,-19.625483,-8.381722,0.10718965,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.41020268979761,-7.281632288570174]}"
1_1_2_32_0,0.063,0.1416,0.0984,0.0642,0.0796,0.0842,0.1135,0.1394,0.1593,0.1664,0.1621,0.1793,-0.010517089,0.17267455,0.07202754,0.35284555,-0.28028932,-0.18,0.049791347,0.44319168,-0.2567976,0.3760933,0.32801276,-0.35284555,0.18899608,0.16426858,-14.857142,-10.02979,0.20982754,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.44259358955553,-7.313875063046351]}"
1_1_2_175_0,0.0646,0.0785,0.0491,0.0724,0.08,0.0874,0.1069,0.1204,0.1356,0.1228,0.1406,0.1376,-0.08114097,0.08014853,0.036977265,0.21104537,0.009463695,-0.23040754,0.034945764,0.2581967,-0.42873764,0.040424112,0.16841106,-0.21104537,0.06922072,0.07476768,-16.227373,-9.070783,0.10874568,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.42018391217927,-7.2688007065462505]}"
1_1_2_182_0,0.0541,0.0473,0.0287,0.0576,0.0668,0.0652,0.0925,0.1123,0.1232,0.114,0.1203,0.1581,-0.20802534,0.113678716,0.051972248,0.26106197,0.17090271,-0.24473685,0.016414385,0.32867134,-0.5977575,0.09818874,0.27232143,-0.26106197,0.104116224,0.10777385,-24.089247,-11.25074,0.12596785,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.41534053873433,-7.301448360433436]}"
1_1_2_190_0,0.0654,0.0773,0.0528,0.0712,0.0834,0.0956,0.1215,0.1316,0.146,0.1372,0.1471,0.1495,-0.09310254,0.08837525,0.044843134,0.2438803,0.03795897,-0.18831666,0.036790673,0.31669867,-0.44421053,0.041077435,0.17869414,-0.2438803,0.06068805,0.085152835,-21.0074,-12.111134,0.13975155,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.41376133399727,-7.261827491889704]}"
1_1_2_109_0,0.0573,0.116,0.0728,0.0624,0.075,0.0841,0.1086,0.1368,0.1486,0.1472,0.1506,0.1949,-0.023187708,0.13325731,0.05744667,0.3249325,-0.21465965,-0.22881353,0.041592937,0.40458018,-0.33818182,0.30044842,0.2728059,-0.3249325,0.15089916,0.12942705,-11.797919,-8.435298,0.17925593,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.41320515306887,-7.27159580296095]}"
1_1_2_56_0,0.0617,0.2499,0.1821,0.0691,0.09,0.0986,0.1358,0.1876,0.2101,0.2244,0.2363,0.2464,0.08566978,0.24234252,0.098986536,0.4274809,-0.47043246,-0.15694445,0.08001363,0.5291312,-0.10405904,0.56677115,0.38947368,-0.4274809,0.24597445,0.22928311,-16.924498,-9.896605,0.29357278,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.45829970876166,-7.286396034497673]}"
1_1_2_31_0,0.0697,0.1807,0.1321,0.0744,0.093,0.1032,0.1235,0.1646,0.1877,0.1982,0.2015,0.2042,0.02030549,0.18858185,0.081265405,0.36126372,-0.3204238,-0.15537085,0.06878264,0.45414528,-0.2001211,0.41669935,0.31519574,-0.36126372,0.23220392,0.17781383,-17.131247,-9.238322,0.24035724,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.44313873140926,-7.312609377275125]}"
1_1_2_195_0,0.0601,0.0634,0.0418,0.0667,0.0756,0.0804,0.1035,0.1132,0.1169,0.1123,0.1127,0.1343,-0.10904585,0.072867654,0.03491275,0.19531667,0.08776977,-0.2053232,0.029926268,0.25474864,-0.45749515,-0.025365075,0.16554232,-0.19531667,0.040778503,0.06907753,-20.669714,-5.3067856,0.10073639,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.42679463165476,-7.270437285837338]}"
1_1_2_47_0,0.0576,0.084,0.0592,0.0626,0.0774,0.0844,0.104,0.1186,0.1297,0.1288,0.1282,0.1444,-0.063924424,0.09522177,0.044470895,0.24927257,-0.040892195,-0.17318435,0.038792543,0.34587252,-0.3702128,0.14597543,0.20825519,-0.24927257,0.10652923,0.093381956,-14.222625,-7.6434026,0.14362164,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.45674375660147,-7.299600531036683]}"
1_1_2_121_0,0.0578,0.0671,0.0434,0.0592,0.0732,0.0828,0.1117,0.1312,0.1433,0.1284,0.1374,0.1486,-0.11170369,0.09651201,0.04838236,0.2738095,0.04347825,-0.21447966,0.027986918,0.36886993,-0.49476135,0.06254951,0.21590908,-0.2738095,0.069554344,0.09617547,-20.964636,-10.425067,0.15095985,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.41108612418583,-7.29881967070148]}"
1_1_2_86_0,0.058,0.1343,0.0841,0.0673,0.084,0.0888,0.1193,0.1377,0.1511,0.1427,0.1488,0.1568,0.030247035,0.115097165,0.04583647,0.25893253,-0.23041683,-0.22985345,0.052334126,0.35904762,-0.25837743,0.33234125,0.23282939,-0.25893253,0.089312986,0.11052632,-18.985086,-10.583446,0.15929578,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.41872080467141,-7.27947240977998]}"
1_1_2_39_0,0.0594,0.1233,0.0904,0.0728,0.0888,0.091,0.1129,0.1375,0.1626,0.1228,0.162,0.1886,0.045620874,0.07080514,0.026075779,0.16068053,-0.16265914,-0.15395413,0.06699023,0.2556237,-0.15196997,0.25752166,0.14873715,-0.16068053,0.042002544,0.06682544,-17.049704,-7.0917873,0.10782058,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.41119904467782,-7.281724039437505]}"
1_1_2_117_0,0.0576,0.0421,0.027,0.0584,0.0683,0.0764,0.0949,0.099,0.111,0.1086,0.1044,0.1097,-0.16987741,0.07130204,0.038278665,0.2278123,0.23731884,-0.21852387,0.018994475,0.30059877,-0.6017699,-0.16218905,0.17405407,-0.2278123,0.06732186,0.07051095,-19.20058,-5.513159,0.112893544,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.42662412223665,-7.262024830575629]}"
1_1_2_138_0,0.0501,0.0646,0.0439,0.0512,0.0583,0.055,0.0852,0.1084,0.1209,0.113,0.1283,0.151,-0.15715292,0.13692161,0.05629868,0.31932282,-0.05126118,-0.19078338,0.021367257,0.37637028,-0.44040787,-0.115716755,0.3452381,-0.31932282,0.14026235,0.13023952,-18.27093,-10.286974,0.13956639,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.45537347844906,-7.309006145620621]}"
1_1_2_123_0,0.0581,0.1151,0.0761,0.0667,0.0808,0.0886,0.1258,0.1546,0.1734,0.1723,0.1777,0.1805,-0.07973796,0.1738462,0.079003654,0.3615172,-0.17508933,-0.20397489,0.039132096,0.441841,-0.3872786,0.26622662,0.32081255,-0.3615172,0.15598792,0.16500196,-18.039541,-6.527638,0.21434371,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.41027754716745,-7.293662748166618]}"
1_1_2_149_0,0.0586,0.2174,0.1489,0.0728,0.092,0.1052,0.1482,0.1805,0.1983,0.1917,0.2177,0.2231,0.098960996,0.16935547,0.06661586,0.35142756,-0.4053006,-0.18700518,0.08171247,0.44952738,-0.12566058,0.49827704,0.29134387,-0.35142756,0.1279788,0.16281842,-17.852962,-7.0946393,0.23328972,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.45748363590386,-7.287028238644677]}"
1_1_2_61_0,0.0578,0.0561,0.0317,0.0648,0.0751,0.0834,0.1018,0.1055,0.1137,0.1118,0.1114,0.0951,-0.117367916,0.063043855,0.033238117,0.1963617,0.14481705,-0.27790433,0.023647407,0.26613817,-0.55818814,-0.071960315,0.14549178,-0.1963617,0.04681648,0.061277322,-17.442488,-6.8841224,0.10419746,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.43432236319224,-7.2632103959878735]}"
1_1_2_68_0,0.0592,0.1105,0.0581,0.0658,0.0725,0.0798,0.1085,0.1292,0.1451,0.1362,0.1577,0.1656,-0.029824106,0.12572446,0.050959323,0.3052228,-0.20765029,-0.31079477,0.034040973,0.34851483,-0.40195572,0.25354508,0.26111108,-0.3052228,0.11319982,0.11815641,-17.33454,-9.570829,0.15042733,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.4438304739438,-7.265935781489971]}"
1_1_2_137_0,0.0518,0.1298,0.0802,0.056,0.0614,0.0628,0.0965,0.1354,0.1443,0.1389,0.1594,0.1806,-0.0059354687,0.17363329,0.064226225,0.38691962,-0.3577406,-0.2361905,0.036260333,0.42534631,-0.26791418,0.3972013,0.37729302,-0.38691962,0.18011893,0.16267636,-15.971678,-8.112324,0.1789466,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.46035759749131,-7.307836227364405]}"
1_1_2_178_0,0.063,0.0484,0.0279,0.073,0.0888,0.0926,0.1199,0.1279,0.138,0.1329,0.1338,0.1384,-0.1870856,0.08829973,0.048133146,0.19891746,0.29446062,-0.26867628,0.019439729,0.29091793,-0.6529851,-0.20263591,0.17871395,-0.19891746,0.05142405,0.08332184,-21.553022,-13.80187,0.12728432,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.41083822560655,-7.280547669496216]}"
1_1_2_110_0,0.0596,0.0788,0.0572,0.0727,0.089,0.0959,0.1265,0.1456,0.1644,0.1686,0.1628,0.1819,-0.16009614,0.15161626,0.075730465,0.30900618,0.060786657,-0.15882353,0.03253547,0.39743057,-0.49335694,0.040264018,0.2748582,-0.30900618,0.14266348,0.14264224,-16.188965,-10.598969,0.19405098,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.41773692520059,-7.2697021117086145]}"
1_1_2_98_0,0.0543,0.0503,0.0319,0.0583,0.0756,0.0783,0.1043,0.1146,0.1204,0.1109,0.1109,0.1075,-0.13633312,0.071275525,0.037562177,0.18927614,0.20095314,-0.22384427,0.022522723,0.3108747,-0.5532213,-0.07366484,0.17230444,-0.18927614,0.030669143,0.07095183,-25.196928,-10.988393,0.11790197,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.40748016776277,-7.285337340127875]}"
1_1_2_25_0,0.0555,0.0495,0.0297,0.0616,0.0713,0.0755,0.0949,0.1052,0.1161,0.1103,0.1189,0.1043,-0.15796565,0.07899755,0.039407734,0.2147577,0.18046358,-0.25,0.020329555,0.28330424,-0.5757143,-0.10891089,0.18729818,-0.2147577,0.07504872,0.07611549,-19.186008,-12.21835,0.10872153,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.44084214879493,-7.265118018439315]}"
