month,variable,break_0,break_1,break_2,break_3,break_4,break_5
juni,B1,0.0,0.12280701754385961,0.2182017543859649,0.3519736842105264,0.5975877192982456,1.0
juni,B2,0.0,0.06433929601846508,0.16185804962492784,0.3242931332948645,0.566070398153491,0.9999999999999999
juni,B3,0.0,0.07224606580829758,0.14985693848354795,0.2796852646638055,0.5143061516452075,1.0
juni,B4,0.0,0.1072370348666862,0.24875476120714912,0.42689715792557864,0.6736009375915617,1.0
juni,B5,0.0,0.10882548108825481,0.21035169210351695,0.3261446582614466,0.5587259455872594,1.0
juni,B6,0.0,0.17401828940290484,0.3929532006455084,0.5570199031737495,0.7243141473910706,1.0
juni,B7,0.0,0.174205105239588,0.37863860277653383,0.5512763098969996,0.7214509628302732,1.0
juni,B8,0.0,0.16320166320166324,0.36070686070686075,0.5303534303534304,0.7033264033264034,1.0
juni,B8A,0.0,0.17784256559766767,0.3881715951686797,0.5641399416909622,0.7407330279050396,1.0
juni,B9,0.0,0.20479786761439367,0.4053753887161263,0.5741892492225679,0.7576632607729898,1.0
juni,B11,0.0,0.14593140551445863,0.299708585518942,0.42277516251961444,0.5810356422326832,1.0
juni,B12,0.0,0.08582695430294593,0.2078404082579448,0.37160751565762007,0.6056599396891673,1.0
juni,NDVI,0.0,0.2565130474567331,0.4038536107944209,0.5467615651624148,0.7793958788839683,0.9999999999999998
juni,GNDVI,0.0,0.2509689455366992,0.4468662818378448,0.6311962046316084,0.8188723570544338,1.0
juni,EVI,0.0,0.0,0.6455194738800181,0.7027895760552232,0.7605787854091928,1.0
juni,SAVI,0.0,0.18974091761400014,0.35368382047443847,0.5797586270906975,0.7990456967793325,0.9999999999999999
juni,WAVI,0.0,0.19325215430017964,0.4185323299492484,0.6351888947010356,0.8104959083856098,1.0
juni,RENDVI,0.0,0.20405413291483815,0.357677764420992,0.5012977406067135,0.7140818193220688,1.0
juni,NDAVI,0.0,0.24054927470056975,0.4525668213172088,0.6519262079634052,0.8425636526574223,0.9999999999999999
juni,FAI,0.0,0.11659353200420153,0.2584396230746739,0.47972862842416675,0.7096978034085886,1.0
juni,NDWI,0.0,0.1784402910156465,0.36809485733818914,0.546980723916237,0.7465075171957125,1.0
juni,MNDWI,0.0,0.16242647243853908,0.31691049617323414,0.5196328275152744,0.7452699665801796,1.0
juni,NDBI,0.0,0.16249526480702886,0.31811596182327206,0.48799731786328543,0.7000876459144505,0.9999999999999999
juni,NBI,0.0,0.05654822765694275,0.15457062761838314,0.2911750816115372,0.5155887448939163,1.0
juni,NBAI,0.0,0.20189991515951722,0.3565040518799989,0.5121181271859845,0.6801952451899581,1.0
juni,BSI,0.0,0.26837485955016616,0.4210694969713523,0.5589573116986614,0.7214284594307662,0.9999999999999999
juni,NDBSI,0.0,0.19990059434993873,0.405497789541187,0.611684019550683,0.7959176073513479,1.0
juni,VV,0.0,0.3340744119542398,0.49468649531847025,0.6052518868408752,0.7004960135610739,1.0
juni,VH,0.0,0.37234420410741387,0.5525774639485057,0.6584454090982459,0.7456685974929246,0.9999999999999999
juli,B1,0.0,0.13767342582710781,0.21451440768409819,0.3255069370330844,0.5410885805763074,1.0
juli,B2,0.0,0.11926091825307952,0.2021276595744681,0.34602463605823075,0.5811870100783876,1.0
juli,B3,0.0,0.11985688729874774,0.21943947525342877,0.37149672033392966,0.6231365533691114,1.0
juli,B4,0.0,0.07499151679674247,0.155751611808619,0.26162198846284357,0.4197488971835765,1.0
juli,B5,0.0,0.12441613588110403,0.23227176220806792,0.33715498938428873,0.5048832271762208,0.9999999999999999
juli,B6,0.0,0.13794858742682617,0.28505981165691013,0.41257317383558156,0.5701196233138203,1.0
juli,B7,0.0,0.13842678168001643,0.29061408913534614,0.4319162045594579,0.5888272745943726,1.0
juli,B8,0.0,0.1300966792770072,0.27994955863808324,0.4289617486338798,0.6031946195880623,1.0
juli,B8A,0.0,0.14681827249152204,0.31358467983243565,0.4733692399760623,0.6485138639537202,1.0
juli,B9,0.0,0.1561071195297191,0.328325713041585,0.4985848029610276,0.6895275419116045,1.0
juli,B11,0.0,0.09179780639008106,0.21459227467811157,0.34740104911778735,0.505722460658083,1.0
juli,B12,0.0,0.07205982324949013,0.153183775209608,0.2608203036483118,0.42533423974620443,1.0
juli,NDVI,0.0,0.2042350746107301,0.3759708216564127,0.5483990955017153,0.7759147589838415,1.0
juli,GNDVI,0.0,0.21902548752793854,0.4294544246344384,0.608025708086364,0.7944499135076153,1.0
juli,EVI,0.0,0.1330274131585972,0.2728928610976294,0.46598317410551804,0.6738453655859371,1.0
juli,SAVI,0.0,0.15883821513941546,0.3154158423350948,0.5205135348970376,0.7188966182558156,1.0
juli,WAVI,0.0,0.16738750050042508,0.3374297877929834,0.5184237495129115,0.7092356780239617,1.0
juli,RENDVI,0.0,0.2569873995189922,0.4316462554548506,0.5725656595448705,0.7473875115647548,1.0
juli,NDAVI,0.0,0.21671524985380275,0.4280310170285688,0.6179707277224051,0.807266522313691,0.9999999999999999
juli,FAI,0.0,0.1000229676969813,0.23765386726236656,0.4248125374741379,0.6221156972730741,1.0
juli,NDWI,0.0,0.19785277261878298,0.3910673982158443,0.5678335898328074,0.7778194325932692,1.0
juli,MNDWI,0.0,0.25928996310097346,0.4312261265257405,0.6196241742496009,0.8213425956373235,1.0000000000000002
juli,NDBI,0.0,0.17201026838802166,0.30328235563417016,0.4687455908756903,0.664042673586299,1.0
juli,NBI,0.0,0.061447474628413,0.16040313725301847,0.2934245023447148,0.4789346169256306,1.0
juli,NBAI,0.0,0.21851345650547524,0.37462266809290246,0.5272338275403171,0.6893126882148273,1.0
juli,BSI,0.0,0.2757192542994946,0.422450965387147,0.5535729914192449,0.6987531189483907,1.0
juli,NDBSI,0.0,0.22625906147388009,0.4172419733419872,0.606023227080812,0.8008908795301749,1.0
juli,VV,0.0,0.3415131177277679,0.5125807222833088,0.6338916030045242,0.7321832222299143,1.0
juli,VH,0.0,0.2040910210635032,0.4424641025764566,0.5907382359489552,0.7019839613931121,1.0
