system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,BSI,EVI,FAI,GNDVI,MNDWI,NBAI,NBI,NDAVI,NDBI,NDBSI,NDVI,NDWI,RENDVI,SAVI,VH,VV,WAVI,landcover,.geo
1_1_2_158_0,0.052,0.2073,0.1277,0.0604,0.0866,0.1001,0.1605,0.2373,0.2713,0.269,0.308,0.2938,-0.034547716,0.29807284,0.14990196,0.5129359,-0.41068393,-0.23761195,0.047519594,0.6332726,-0.35618854,0.5487486,0.45759955,-0.5129359,0.25261933,0.29150844,-19.075815,-14.026251,0.37726066,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.39562499374122,-7.276366750021607]}"
1_1_2_55_0,0.069,0.2672,0.1706,0.0818,0.1216,0.1382,0.1828,0.2652,0.3005,0.3465,0.3359,0.3072,-0.027467933,0.333344,0.18543856,0.4804529,-0.37448558,-0.22064869,0.06804305,0.61802477,-0.34016633,0.53123206,0.42975038,-0.4804529,0.3092764,0.31730476,-16.743475,-8.692762,0.42771736,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.43696953218517,-7.31956668457348]}"
1_1_2_180_0,0.0564,0.2619,0.1807,0.0692,0.1015,0.1182,0.1818,0.2396,0.2641,0.2761,0.2945,0.2989,0.04797352,0.26921505,0.13243341,0.4623941,-0.44138694,-0.18346137,0.07735871,0.5991891,-0.20884414,0.5819994,0.40045652,-0.4623941,0.20594017,0.26484403,-15.435086,-10.403171,0.36714777,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.4099592613112,-7.259923032559399]}"
1_1_2_74_0,0.0557,0.0491,0.0339,0.0524,0.0684,0.0772,0.0952,0.1018,0.104,0.1078,0.1085,0.1007,-0.11832459,0.06494057,0.035579894,0.2236095,0.16425534,-0.18313253,0.02427718,0.34581771,-0.52152437,-0.032512315,0.16540538,-0.2236095,0.06206896,0.06700729,-25.800325,-11.630523,0.12587094,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.45755647579715,-7.301772416343258]}"
1_1_2_57_0,0.0612,0.2745,0.198,0.085,0.1136,0.1428,0.1787,0.2265,0.249,0.2552,0.2723,0.2605,0.101782195,0.19057307,0.08906005,0.38394794,-0.4145839,-0.16190478,0.110793106,0.5002939,-0.1262136,0.527121,0.28241205,-0.38394794,0.1763079,0.18775055,-15.218111,-9.948917,0.30385622,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.45337269582268,-7.315335534048056]}"
1_1_2_93_0,0.0747,0.3075,0.2256,0.0958,0.1266,0.1656,0.1906,0.2301,0.2492,0.2533,0.2756,0.2651,0.15081488,0.14345068,0.062552415,0.33350885,-0.41672426,-0.1536297,0.14749056,0.45116016,-0.0578409,0.52491945,0.20935786,-0.33350885,0.14124805,0.14316031,-18.034765,-14.328633,0.2782358,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.45350982298214,-7.276983002572299]}"
1_1_2_68_0,0.0568,0.2309,0.1613,0.0662,0.0882,0.103,0.1517,0.204,0.2212,0.2315,0.2552,0.2425,0.057314757,0.23743533,0.10583349,0.4482327,-0.44719523,-0.17746048,0.07176631,0.55525696,-0.1787169,0.5543588,0.38415545,-0.4482327,0.20824635,0.23097663,-15.354314,-5.467769,0.31083113,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.45654836618036,-7.311359378807848]}"
1_1_2_196_0,0.0696,0.3253,0.2526,0.0915,0.1132,0.1554,0.1977,0.2255,0.2569,0.2405,0.2817,0.2308,0.18297035,0.14310701,0.05499024,0.35990953,-0.4836944,-0.1258003,0.16321847,0.4487952,0.024538655,0.5609405,0.2149533,-0.35990953,0.0976723,0.14248244,-22.500282,-13.451795,0.26862982,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.45712780491553,-7.28160053723499]}"
1_1_2_64_0,0.0581,0.2322,0.1558,0.0678,0.0907,0.1042,0.1482,0.2152,0.2344,0.249,0.2633,0.2751,0.030006118,0.26506555,0.122115776,0.4659994,-0.43821615,-0.1969072,0.065198235,0.5719697,-0.23023716,0.548,0.40996602,-0.4659994,0.25377643,0.25457102,-17.15304,-9.784455,0.332762,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.45672332285442,-7.316515493429209]}"
1_1_2_50_0,0.0648,0.1394,0.089,0.0618,0.0844,0.0812,0.1371,0.1998,0.2027,0.2027,0.2105,0.1798,-0.09049679,0.24767612,0.11118577,0.41205156,-0.24575517,-0.22066551,0.03565269,0.5327032,-0.38978404,-0.3856859,0.42796758,-0.41205156,0.19305475,0.23249139,-16.61901,-6.1533217,0.2764552,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.43190116493969,-7.315580341458505]}"
